"name","sellPrice","lastQuantity","unit","sold"
"aceton heviny 35 ml",5000,0,"Pcs","0 Pcs"
"aceton heviny 60 ml",6000,78,"Pcs","78 Pcs"
"ballpoint milton s-121",12500,7,"Box","7 Box"
"body lotion heviny aloevera 600 ml",16000,0,"Pcs","0 Pcs"
"body lotion heviny bengkuang 600 ml",16000,0,"Pcs","0 Pcs"
"body lotion heviny green tea 600 ml",16000,0,"Pcs","0 Pcs"
"body lotion heviny rose 600 ml",16000,0,"Pcs","0 Pcs"
"body lotion heviny yogurt & goat milky 600 ml",16000,0,"Pcs","0 Pcs"
"cottonbuds cici bayi",30000,10,"Lusin","2 Lusin"
"cottonbuds cici dewasa 045",24000,10,"Lusin","9 Lusin"
"creambath heviny anti ketombe 250 gr",13000,0,"Pcs","0 Pcs"
"creambath heviny avocado 250 gram",13000,0,"Pcs","0 Pcs"
"creambath heviny ginseng 250 gram",13000,0,"Pcs","0 Pcs"
"creambath heviny kemiri 250 gr",13000,0,"Pcs","0 Pcs"
"creambath heviny lidah buaya 250 gr",13000,0,"Pcs","0 Pcs"
"creambath heviny spa avocado 250 gram",13000,0,"Pcs","0 Pcs"
"creambath heviny spa coconut 250 gram",13000,0,"Pcs","0 Pcs"
"creambath heviny spa emulsion milky 250 gram",13000,0,"Pcs","0 Pcs"
"creambath heviny spa papaya jasmine 250 gram",13000,0,"Pcs","0 Pcs"
"creambath heviny strawberry 250 gr",13000,0,"Pcs","0 Pcs"
"fitting test fukuta",7000,0,"Pcs","0 Pcs"
"fitting lampu kamar heroic he-4410",6500,18,"Pcs","12 Pcs"
"fitting gantung bulat superity",4000,18,"Pcs","18 Pcs"
"fitting plafon okka",4000,12,"Pcs","0 Pcs"
"fitting kombinasi",6000,18,"Pcs","6 Pcs"
"gembok freeder 15 mm",114000,1,"Lusin","1 Lusin"
"gembok frt 20 mm",120000,0,"Lusin","0 Lusin"
"gembok frt 25 mm",145000,5,"Lusin","2 Lusin"
"gembok frt 30 mm",13750,12,"Pcs","6 Pcs"
"gembok majesty 40 mm",15000,6,"Pcs","6 Pcs"
"gosok panci",27000,24,"Lusin","12 Lusin"
"gunting kuku honaga 611 a",72000,5,"Lusin","5 Lusin"
"gunting kuku honaga 602 b",66000,0,"Lusin","0 Lusin"
"gunting kuku honaga 612 b",90000,4,"Lusin","1 Lusin"
"gunting kuku honaga 323 a",96000,4,"Lusin","1 Lusin"
"gunting kuku honaga 612 a",90000,4,"Lusin","2 Lusin"
"gunting kuku honaga 625 a",96000,0,"Lusin","0 Lusin"
"gunting kuku honaga 692 a",96000,0,"Lusin","0 Lusin"
"gunting kuku honaga 360 a",99000,4,"Lusin","1 Lusin"
"gunting kuku 777 besar",102000,1,"Lusin","0 Lusin"
"gunting m2000 besar hitam",9500,24,"Pcs","12 Pcs"
"gunting m2000 kecil hitam",6250,24,"Pcs","12 Pcs"
"gunting m2000 kecil renteng",72000,3,"Lusin","3 Lusin"
"gunting m2000 sedang hitam",7500,12,"Pcs","0 Pcs"
"hair mask green tea 500 gr",31000,0,"Pcs","0 Pcs"
"hair mask heviny coconut 500 gr",31000,0,"Pcs","0 Pcs"
"hair mask heviny coconut 500 gram",31000,0,"Pcs","0 Pcs"
"hair mask heviny coklat mint 500 gr",31000,0,"Pcs","0 Pcs"
"hair mask heviny ginseng 500 gr",31000,0,"Pcs","0 Pcs"
"hair mask heviny ginseng milky 500 gr",31000,0,"Pcs","0 Pcs"
"hair mask heviny green tea 500 gr",31000,0,"Pcs","0 Pcs"
"hair mask heviny papaya jasmine 500 gr",31000,0,"Pcs","0 Pcs"
"hair mask heviny strawberry 500 gr",31000,0,"Pcs","0 Pcs"
"hair mask heviny sun flower avocado 500 gr",29000,0,"Pcs","0 Pcs"
"isolasi bening kecil",12000,12,"Roll","6 Roll"
"isolasi hitam kecil",12000,18,"Roll","10 Roll"
"jarum tangan voxy",48000,5,"Box","1 Box"
"jarum pentul",20000,30,"Roll","12 Roll"
"jinzu pepaya brightening soap 50 gr",9500,0,"Pcs","0 Pcs"
"kabel putih nym 2 x 1,5 x 50 kawat",350000,0,"Roll","0 Roll"
"kabel rca 1 - 2",5500,0,"Pcs","0 Roll"
"kabel listrik xrcom 2 x 30 meter",47500,6,"Roll","1 Roll"
"kabel transparan monster 2 x 50",62500,0,"Roll","0 Roll"
"kabel transparan monster 2 x 80",77500,0,"Roll","0 Roll"
"kain pel sedang dynamic",20000,120,"Pcs","81 Pcs"
"kain pel besar dynamic",22500,21,"Pcs","21 Pcs"
"kalkulator citizen ct 2000",107500,1,"Pcs","1 Pcs"
"kalkulator citizen ct 500",55000,0,"Pcs","0 Pcs"
"kalkulator citizen ct 660",99000,0,"Pcs","0 Pcs"
"kalkulator citizen ct 712",101500,3,"Pcs","1 Pcs"
"kalkulator citizen ct 720",44500,0,"Pcs","0 Pcs"
"kalkulator citizen ct 9912",125000,1,"Pcs","0 Pcs"
"kalkulator citizen sdc 612c",125000,1,"Pcs","0 Pcs"
"kalkulator citizen sdc 868m",99000,1,"Pcs","0 Pcs"
"kanebo speed-r",20000,12,"Pcs","0 Pcs"
