"name","sellPrice","lastQuantity","unit","totalPrice","sold"
"Aceton Heviny 35 ml",5000,0,"Pcs",0,"tidak ada"
"Aceton Heviny 60 ml","6,000",72,"Pcs",432000,"72 Pcs"
"Ballpoint Milton S-121","12,500",7,"Box",87500,"7 Box"
"Body Lotion Heviny Aloevera 600 ml","16,000",0,"Pcs",0,"tidak ada"
"Body Lotion Heviny Bengkuang 600 ml","16,000",0,"Pcs",0,"tidak ada"
"Body Lotion Heviny Green Tea 600 ml","16,000",0,"Pcs",0,"tidak ada"
"Body Lotion Heviny Rose 600 ml","16,000",0,"Pcs",0,"tidak ada"
"Body Lotion Heviny Yogurt & Goat Milky 600 ml","16,000",0,"Pcs",0,"tidak ada"
"Cottonbuds Cici Bayi","30,000",10,"Lusin","300,000","8 Lusin"
"Cottonbuds Cici Dewasa 045","24,000",10,"Lusin","312,000","7 Lusin"
"Creambath Heviny Anti Ketombe 250 gr","13,000",0,"Pcs",0,"tidak ada"
"Creambath Heviny Avocado 250 gram","13,000",0,"Pcs",0,"tidak ada"
"Creambath Heviny Ginseng 250 gram","13,000",0,"Pcs",0,"tidak ada"
"Creambath Heviny Kemiri 250 gr","13,000",0,"Pcs",0,"tidak ada"
"Creambath Heviny Lidah Buaya 250 gr","13,000",0,"Pcs",0,"tidak ada"
"Creambath Heviny Spa Avocado 250 gram","13,000",0,"Pcs",0,"tidak ada"
"Creambath Heviny Spa Coconut 250 gram","13,000",0,"Pcs",0,"tidak ada"
"Creambath Heviny Spa Emulsion Milky 250 gram","13,000",0,"Pcs",0,"tidak ada"
"Creambath Heviny Spa Papaya Jasmine 250 gram","13,000",0,"Pcs",0,"tidak ada"
"Creambath Heviny Strawberry 250 gr","13,000",0,"Pcs",0,"tidak ada"
"Fitting Test Fukuta","7,000",12,"Pcs",84000,"tidak ada"
"Fitting Lampu Kamar Heroic HE-4410","6,500",12,"Pcs",78000,6
"Fitting Gantung Bulat Superity","4,000",144,"Pcs",576000,12
"Fitting Plafon Okka","4,000",12,"Pcs",48000,6
"Fitting Kombinasi","6,000",24,"Pcs",144000,"18 Pcs"
"Gembok Freeder 15 mm","114,000",1,"Lusin",114000,"1 Lusin"
"Gembok FRT 20 mm","120,000",0,"Lusin",0,"tidak ada"
"Gembok FRT 25 mm","145,000",3,"Lusin",435000,"2 Lusin"
"Gembok FRT 30 mm","13,750",12,"Pcs",165000,"6 Pcs"
"Gembok Majesty 40 mm","15,000",0,"Pcs",0,"tidak ada"
"Gosok Panci","27,000",24,"Lusin",648000,"12 Lusin"
"Gunting Kuku Honaga 611 A","72,000",0,"Lusin",0,"5 Lusin"
"Gunting Kuku Honaga 602 B","66,000",0,"Lusin",0,"tidak ada"
"Gunting Kuku Honaga 612 B","90,000",2,"Lusin",180000,"1 Lusin"
"Gunting Kuku Honaga 323 A","96,000",3,"Lusin",288000,"1 Lusin"
"Gunting Kuku Honaga 612 A","90,000",0,"Lusin",0,"2 Lusin"
"Gunting Kuku Honaga 625 A","96,000",0,"Lusin",0,"tidak ada"
"Gunting Kuku Honaga 692 A","96,000",0,"Lusin",0,"tidak ada"
"Gunting Kuku Honaga 360 A","99,000",2,"Lusin",198000,"1 Lusin"
"Gunting Kuku 777 Besar","102,000",1,"Lusin",102000,"tidak ada"
"Gunting M2000 Besar Hitam","9,500",24,"Pcs",228000,"12 Pcs"
"Gunting M2000 Kecil Hitam","6,250",24,"Pcs",150000,"12 Pcs"
"Gunting M2000 Kecil Renteng","72,000",3,"Lusin",0,"3 Lusin"
"Gunting M2000 Sedang Hitam","7,500",12,"Pcs",90000,"tidak ada"
"Hair Mask Green Tea 500 gr","31,000",0,"Pcs",0,"tidak ada"
"Hair Mask Heviny Coconut 500 gr","31,000",0,"Pcs",0,"tidak ada"
"Hair Mask Heviny Coconut 500 gram","31,000",0,"Pcs",0,"tidak ada"
"Hair Mask Heviny Coklat Mint 500 gr","31,000",0,"Pcs",0,"tidak ada"
"Hair Mask Heviny Ginseng 500 gr","31,000",0,"Pcs",0,"tidak ada"
"Hair Mask Heviny Ginseng Milky 500 gr","31,000",0,"Pcs",0,"tidak ada"
"Hair Mask Heviny Green Tea 500 gr","31,000",0,"Pcs",0,"tidak ada"
"Hair Mask Heviny Papaya Jasmine 500 gr","31,000",0,"Pcs",0,"tidak ada"
"Hair Mask Heviny Strawberry 500 gr","31,000",0,"Pcs",0,"tidak ada"
"Hair Mask Heviny Sun Flower Avocado 500 gr","29,000",0,"Pcs",0,"tidak ada"
"Isolasi Bening Kecil","12,000",12,"Roll",144000,6
"Isolasi Hitam Kecil","12,000",16,"Roll",192000,10
"Jarum Tangan Voxy","48,000",5,"Box",240000,"1 Box"
"Jarum Pentul","20,000",18,"Roll",360000,"13 Roll"
"Jinzu Pepaya Brightening Soap 50 gr","9,500",6,"Pcs",57000,"tidak ada"
"Kabel Listrik NYM 2 x 1,5 50 meter","350,000",3,"Roll",1050000,"tidak ada"
"Kabel RCA 1 - 2","5,500",50,"Pcs",275000,"tidak ada"
"Kabel Listrik MONSTER 2 x 50 meter","62,500",6,"Roll",375000,"tidak ada"
"Kabel Listrik XRCOM 2 x 30 meter","47,500",5,"Roll",237500,1
"Kabel Listrik Monster 2 x 80 meter","77,500",6,"Roll",465000,"tidak ada"
"Kain Pel Sedang Dynamic","20,000",93,"Pcs",1860000,"81 Pcs"
"Kain Pel Besar Dynamic","22,500",12,"Pcs",270000,"tidak ada"
"Kalkulator Citizen CT 2000","75,000",2,"Pcs",150000,1
"Kalkulator Citizen CT 500","55,000",0,"Pcs",0,"tidak ada"
"Kalkulator Citizen CT 660","99,000",1,"Pcs",99000,"tidak ada"
"Kalkulator Citizen CT 712","101,500",2,"Pcs",203000,1
"Kalkulator Citizen CT 720","44,500",0,"Pcs",0,"tidak ada"
"Kalkulator Citizen CT 9912","68,500",1,"Pcs",68500,"tidak ada"
"Kalkulator Citizen SDC 612C","125,000",1,"Pcs",125000,"tidak ada"
"Kalkulator Citizen SDC 868M","99,000",1,"Pcs",99000,"tidak ada"
"Kanebo Speed-R","20,000",12,"Pcs",240000,"tidak ada"
"Kapur Ajaib Bagus","15,000",65,"Box",975000,45
"Keran Air Hendso 1 / 2 Dim","18,750",12,"Pcs",225000,"6 Pcs"
"Keran Air Hendso 3 / 4 Dim","20,000",12,"Pcs",240000,"tidak ada"
"Keran Air Onda 3 / 4 Dim","15,000",12,"Pcs",180000,"tidak ada"
"Keran Air Tovo 3 / 4 Dim","21,250",12,"Pcs",255000,"tidak ada"
"Kipas Angin Tangan Hello Kitty","24,000",12,"Pcs",288000,"tidak ada"
"Lakban Bening Besar","12,500",36,"Pcs",450000,24
"Lakban Cokelat Besar","12,500",15,"Pcs",187500,"tidak ada"
"Lakban Bening OPP","10,500",78,"Pcs",819000,42
"Lakban Cokelat OPP","10,500",144,"Pcs",1512000,30
"Lakban Hitam OPP","11,000",0,"Pcs",0,"tidak ada"
"Lakban Hitam Besar Tebal","15,500",36,"Pcs",558000,"30 Pcs"
"Lakban Kain 2 Millenium","17,500",12,"Pcs",210000,"tidak ada"
"Lampu Yazuho 2U 15 Watt","10,000",0,"Pcs",0,"tidak ada"
"Lampu Yazuho 2U 18 Watt","10,000",0,"Pcs",0,"tidak ada"
"Lampu Yazuho 2U 20 Watt","10,000",12,"Pcs",120000,"tidak ada"
"Lampu LED Emergency Flashycom - 5 Watt","65,000",2,"Pcs",130000,"2 Pcs"
"Lampu LED Emergency Flashycom - 12 Watt","75,000",0,"Pcs",0,"tidak ada"
"Lampu LED Stark - 5 Watt","65,000",6,"Pcs",390000,"tidak ada"
"Lampu LED Stark 13 - Watt","75,000",12,"Pcs",900000,"6 Pcs"
"Lampu Pancaran 3U 25 Watt","15,000",30,"Pcs",450000,18
"Lampu Pancaran 3U 30 Watt","15,000",42,"Pcs",630000,18
"Lampu Pancaran 3U 35 Watt","15,000",33,"Pcs",495000,18
"Lampu Pancaran Spiral 25 Watt","17,500",21,"Pcs",367500,18
"Lampu Pancaran Spiral 30 Watt","17,500",21,"Pcs",367500,18
"Lampu Pancaran Spiral 35 Watt","17,500",24,"Pcs",420000,18
"Lampu Zentama Spiral 25 Watt","17,500",0,"Pcs",0,"tidak ada"
"Lampu Zentama Spiral 30 Watt","17,500",0,"Pcs",0,"tidak ada"
"Lampu Zentama Spiral 35 Watt","17,500",0,"Pcs",0,"tidak ada"
"Lampu INS Ekonomis 2U 5 Watt","10,000",75,"Pcs",750000,57
"Lampu INS Ekonomis 2U 7 Watt","10,000",75,"Pcs",750000,57
"Lampu Maxxis Spiral 25 Watt","17,500",15,"Pcs",262500,3
"Lampu Maxxis Spiral 35 Watt","17,500",15,"Pcs",262500,3
"Lem Castol Sedang","69,000",6,"Box",414000,"tidak ada"
"Lem Castol Mini","60,000",6,"Box",360000,1
"Lem G","7,500",150,"Pcs",1125000,126
"Lulur Heviny Brightening 250 gr","15,000",0,"Pcs",0,"tidak ada"
"Lulur Heviny Coffe 250 gr","15,000",0,"Pcs",0,"tidak ada"
"Lulur Heviny Green Tea 250 gr","15,000",0,"Pcs",0,"tidak ada"
"Lulur Heviny Madu Susu 250 gr","15,000",0,"Pcs",0,"tidak ada"
"Lulur Heviny Mutiara 250 gr","15,000",0,"Pcs",0,"tidak ada"
"Lulur Heviny Strawberry 250 gr","15,000",0,"Pcs",0,"tidak ada"
"Meteran FRT Transparan 3 Meter","11,250",6,"Pcs",67500,"6 Pcs"
"Obeng Test Pen - Kecil","5,500",12,"Pcs",66000,"12 Pcs"
"Paku Tindis","13,500",20,"Box",270000,"10 Box"
