"18-01-2021","Sukses Jaya Abadi","Fitting Gantung Bulat Superity","2,500","144 Pcs",4000
,,"kabel putih nym 2 x 1,5 x 50 kawat","255,000","3 Roll",350000
,,"Kabel Transparan Monster 2 x 50","30,000","6 Roll",62500
,,"Kabel Transparan Monster 2 x 80","52,000","6 Roll",77500
,,"Kabel RCA 1 - 2","5,000","50 Pcs",5500
,,"Lakban Cokelat OPP","5,500","144 Pcs",10500
,,"Raket Nyamuk Sentosa","35,000","15 Pcs",47500
,,"Raket Nyamuk Sivicom","45,000","15 Pcs",57500
,,"Senter Push On FL1004","15,000","25 Pcs",20000
,,"Steker Gepeng TRIS ",950,"120 Pcs",4000
"29-01-2021","CV. Sinar Laut Timor Kupang","Sikat Pakaian Kayu","25,000","10 Lusin",39000
