"05-01-2021","01-01-0001","Ks.Hasna","Jl.Nangka - Oebobo","Pisau Cutter Besar","1 Lusin","39.000 / Lusin","39,000"
,"01-01-0002","Ks.Rahmadani","Jl.Nangka - Oebobo","Lem G","6 Pcs","7.500 / Pcs","45,000"
,,,,"Spon Cuci Piring - Segi","1 Lusin","27.000 / Lusin","27,000"
,,,,"Sapu Panjang Warna Dynamic","6 Pcs","18.750 / Pcs","112,500"
,"01-01-0003","Ks.Awal","Jl.Bunga Jati - Kelapa Lima","Lem G","12 Pcs","7.500 / Pcs","90,000"
,"01-01-0004","Ks.Naldy","Jl.TDM V - TDM V","Kain Pel Sedang Dynamic","3 Pcs","20.000 / Pcs","60,000"
,"01-01-0005","Ks. Azam Cell","Noelbaki","Kain Pel Sedang Dynamic","6 Pcs","20.000 / Pcs","120,000"
,,,,"Sapu Panjang Motif - Dynamic","6 Pcs","24.500 / Pcs","147,000"
,,,,"Sapu Panjang Warna Dynamic","6 Pcs","18.750 / Pcs","112,500"
,"01-01-0006","Ks. Adrian Cell","Jl.Farmasi - Liliba","Kain Pel Sedang Dynamic","6 Pcs","20.000 / Pcs","120,000"
,,,,"Sapu Panjang Motif - Dynamic","6 Pcs","24.500 / Pcs","147,000"
,,,,"Sapu Panjang Warna Dynamic","6 Pcs","18.750 / Pcs","112,500"
,"01-01-0007","Ks.Noval","Jl.Timor Raya Km.7 - Oesapa","Lampu INS Ekonomis 2U 5 Watt","6 Pcs","10.000 / Pcs","60,000"
,,,,"Lampu INS Ekonomis 2U 7 Watt","6 Pcs","10.000 / Pcs","60,000"
,"01-01-0008","Ks.Bilkis","Jl.Pulau Indah - Kelapa Lima","Isolasi Bening Kecil","3 Roll","12.000 / Roll","36,000"
,,,,"Lakban Bening Besar","6 Pcs","12.500 / Pcs","75,000"
,,,,"Silet Goal","2 Lusin","52.500 / Lusin","105,000"
,,,,"Sikat Pakaian Kayu","1 Lusin","39.000 / Lusin","39,000"
,"01-01-0009","Ks.Susan","Jl.Lubang Jati - Manutapen","Jarum Pentul","1 Roll","20.000 / Roll","20,000"
,,,,"Jarum Tangan Voxy","1 Box","48.000 / Box","48,000"
,,,,"Gunting M2000 Kecil Renteng","1 Lusin","72.000 / Lusin","72,000"
,,,,"Lakban Bening OPP","6 Pcs","10.500 / Pcs","63,000"
,,,,"Lakban Cokelat OPP","6 Pcs","10.500 / Pcs","63,000"
,,,,"Lakban Hitam Besar Tebal","6 Pcs","15.500 / Pcs","93,000"
,,,,"Sikat Pakaian Plastik","1 Lusin","42.000 / Lusin","42,000"
,,,,"Sumbu Kompor Kecil","2 Roll","22.500 / Roll","45,000"
,"01-01-0010","Ks.Risky","Jurusan Gereja Eden Nisbaki - Manutapen","Silet Goal","1 Lusin","52.500 / Lusin","52,500"
,,,,"Sapu Panjang Motif - Dynamic","12 Pcs","24.500 / Pcs","294,000"
,,,,"Sapu Panjang Warna Hitam - Dynamic","9 Pcs","20.000 / Pcs","180,000"
,,,,"Sapu Panjang Warna Dynamic","12 Pcs","18.750 / Pcs","225,000"
"07-01-2021","01-01-0011","Ks.Saldi","Jl.Sukun 1 - Oepura","Lampu Pancaran 3U 25 Watt","2 Pcs","15.000 / Pcs","30,000"
,,,,"Lampu Pancaran 3U 30 Watt","2 Pcs","15.000 / Pcs","30,000"
,,,,"Lampu Pancaran 3U 35 Watt","2 Pcs","15.000 / Pcs","30,000"
,,,,"Lampu Pancaran Spiral 25 Watt","2 Pcs","17.500 / Pcs","35,000"
,,,,"Lampu Pancaran Spiral 30 Watt","2 Pcs","17.500 / Pcs","35,000"
,,,,"Lampu Pancaran Spiral 35 Watt","2 Pcs","17.500 / Pcs","35,000"
,,,,"Paku Tindis","3 Box","13.500 / Box","40,500"
,,,,"Spon Cuci Piring - Segi","2 Lusin","27.000 / Lusin","54,000"
,"01-01-0012","Ks. Amin","Depan IndoSablon - Belakang Pasar Oebobo","Ballpoint Milton S-121","2 Box","12.500 / Box","25,000"
,,,,"Paku Tindis","1 Box","13.500 / Box","13,500"
,"01-01-0013","Tk.Tirta Mas","Jl.Fetor Funay - BTN","Aceton Heviny 60 ml","12 Pcs","6.000 / Pcs","72,000"
,,,,"Spon Bedak Bulat","1 Lusin","25.000 / Lusin","25,000"
,,,,"Shower Cup Motif - Animal","6 Pcs","7.500 / Pcs","45,000"
,"01-01-0014","Ks.Bintang","Jl.Pemuda - Kuanino","Cottonbuds Cici Dewasa 045","1 Lusin","24.000 / Lusin","24,000"
,,,,"Gosok Panci","1 Lusin","27.000 / Lusin","27,000"
,,,,"Spon Bedak Segi","1 Lusin","25.000 / Lusin","25,000"
,"01-01-0015","Ks.Tahar Dua","Jl.Pemuda - Kuanino","Kain Pel Sedang Dynamic","6 Pcs","20.000 / Pcs","120,000"
,,,,"Kain Pel Besar Dynamic","6 Pcs","22.500 / Pcs","135,000"
,,,,"Sapu Panjang Motif - Dynamic","6 Pcs","24.500 / Pcs","147,000"
,,,,"Sapu Panjang Warna Dynamic","12 Pcs","18.750 / Pcs","225,000"
"08-01-2021","01-01-0016","Ks.Putra Tunggal","Jl.Bhakti Karang - Oebobo","Lakban Bening OPP","6 Pcs","10.500 / Pcs","63,000"
,,,,"Lakban Hitam Besar Tebal","6 Pcs","15.500 / Pcs","93,000"
,,,,"Lampu INS Ekonomis 2U 5 Watt","6 Pcs","10.000 / Pcs","60,000"
,,,,"Lampu INS Ekonomis 2U 7 Watt","6 Pcs","10.000 / Pcs","60,000"
,"01-01-0017","Ks.Wahyu","Jl.El Tari 3 - Penfui","Terminal Polos Sunfree 3 Lubang 3 Meter","6 Pcs","27.500 / Pcs","165,000"
,"01-01-0018","Best Mart","Jl.Timor Raya Km.9 - Oesapa","Gunting Kuku Honaga 611 A","1 Lusin","72.000 / Lusin","72,000"
,,,,"Gunting Kuku Honaga 612 B","1 Lusin","90.000 / Lusin","90,000"
,,,,"Jarum Pentul","2 Roll","20.000 / Roll","40,000"
,,,,"Pinset Motif","1 Lusin","75.000 / Lusin","75,000"
,,,,"Pinset Polos Silver","1 Lusin","72.000 / Lusin","72,000"
,,,,"Sikat Gigi Premier Basic Soft","1 Lusin","48.000 / Lusin","48,000"
,,,,"Sikat Gigi Premier Basic Medium","1 Lusin","48.000 / Lusin","48,000"
,,,,"Sikat Gigi Premier Comfort Medium","1 Lusin","42.000 / Lusin","42,000"
,,,,"Sikat Gigi Premier Comfort Soft","1 Lusin","42.000 / Lusin","42,000"
,,,,"Sikat Gigi Premier Deluxe","1 Lusin","55.000 / Lusin","55,000"
,,,,"Sikat Gigi Premier Travel Pack","2 Lusin","110.000 / Lusin","220,000"
,,,,"Sisir Rata Warna","24 Pcs","3.000 / Pcs","72,000"
,,,,"Sisir Saku 2006","12 Pcs","2.500 / Pcs","30,000"
,,,,"Shower Cup Jun Da - Putih","1 Lusin","60.000 / Lusin","60,000"
,"01-01-0019","King Mart","Jl.Adisucipto - Penfui","Aceton Heviny 60 ml","24 Pcs","6.000 / Pcs","144,000"
,,,,"Gunting Kuku Honaga 323 A","1 Lusin","96.000 / Lusin","96,000"
,,,,"Gunting Kuku Honaga 611 A","1 Lusin","72.000 / Lusin","72,000"
,,,,"Gunting Kuku Honaga 612 A","1 Lusin","90.000 / Lusin","90,000"
,,,,"Sikat Gigi Premier Basic Medium","1 Lusin","48.000 / Lusin","48,000"
,,,,"Sikat Gigi Premier Basic Soft","2 Lusin","48.000 / Lusin","96,000"
,,,,"Sikat Gigi Premier Comfort Medium","1 Lusin","42.000 / Lusin","42,000"
,,,,"Sikat Gigi Premier Comfort Soft","1 Lusin","42.000 / Lusin","42,000"
,,,,"Sikat Gigi Premier Deluxe","1 Lusin","55.000 / Lusin","55,000"
,,,,"Sikat Gigi Premier Bobo Travel","1 Lusin","99.000 / Lusin","99,000"
,,,,"Sikat Gigi Premier Superior","1 Lusin","55.000 / Lusin","55,000"
,,,,"Sikat Gigi Premier Travel Pack","1 Lusin","110.000 / Lusin","110,000"
,,,,"Sikat Gigi Premier Twin Plus","1 Lusin","120.000 / Lusin","120,000"
,,,,"Sisir Rata Warna","12 Pcs","3.000 / Pcs","36,000"
,,,,"Sisir Sasak 7413","24 Pcs","3.000 / Pcs","72,000"
,,,,"Spon Bedak Bulat","1 Lusin","25.000 / Lusin","25,000"
,,,,"Spon Bedak Segi","1 Lusin","25.000 / Lusin","25,000"
"11-01-2021","01-01-0020","Ks.Andi","Jl.Timor Raya - Tuapukan","Kain Pel Sedang Dynamic","6 Pcs","20.000 / Pcs","120,000"
,"01-01-0021","Ks.A'an","Jl.Timor Raya - Babau","Cottonbuds Cici Dewasa 045","1 Lusin","24.000 / Lusin","24,000"
,,,,"Gembok FRT 30 mm","6 Pcs","13.750 / Pcs","82,500"
,,,,"Lakban Bening OPP","6 Pcs","10.500 / Pcs","63,000"
,,,,"Lem G","12 Pcs","7.500 / Pcs","90,000"
,,,,"Obeng Test Pen - Kecil","6 Pcs","5.500 / Pcs","33,000"
,"01-01-0022","Ks.Nursyafika","Jurusan Wira Aji - Naibonat","Jarum Pentul","2 Roll","20.000 / Roll","40,000"
,"01-01-0023","Ks.Ridwan","Jurusan Kantor Bupati - Naibonat","Kain Pel Besar Dynamic","6 Pcs","22.500 / Pcs","135,000"
,,,,"Kain Pel Sedang Dynamic","6 Pcs","20.000 / Pcs","120,000"
,"01-01-0024","Ks.Akbar","Depan Pertamina - Naibonat","Fitting Lampu Kamar Heroic HE-4410","6 Pcs","6.500 / Pcs","39,000"
,,,,"Kapur Ajaib Bagus","3 Box","15.000 / Box","45,000"
,,,,"Paku Tindis","2 Box","13.500 / Box","27,000"
,"01-01-0025","Ks.Kirana","Jurusan Pertamina - Naibonat","Fitting Kombinasi","6 Pcs","6.000 / Pcs","36,000"
,,,,"Kabel Listrik XRCOM 2 x 30 meter","1 Roll","47.500 / Roll","47,500"
,,,,"Kalkulator Citizen CT 2000","1 Pcs","107.500 / Pcs","107,500"
,,,,"Lakban Bening Besar","6 Pcs","12.500 / Pcs","75,000"
,,,,"Lakban Hitam Besar Tebal","6 Pcs","15.500 / Pcs","93,000"
,,,,"Isolasi Hitam Kecil","1 Roll","12.000 / Roll","12,000"
,,,,"Sisir Kutu Motif - Cokelat","1 Lusin","51.000 / Lusin","51,000"
,,,,"Paku Tindis","1 Box","13.500 / Box","13,500"
,,,,"Sikat Gigi Premier Basic Soft","1 Lusin","48.000 / Lusin","48,000"
,,,,"Sapu Panjang Warna Hitam - Dynamic","6 Pcs","20.000 / Pcs","120,000"
,"01-01-0026","Ks.Lima Utama","Belakang Polresta - Walikota","Kapur Ajaib Bagus","3 Box","15.000 / Box","45,000"
,,,,"Lakban Bening OPP","6 Pcs","10.500 / Pcs","63,000"
,,,,"Sisir Kutu Motif - Cokelat","1 Lusin","51.000 / Lusin","51,000"
,"01-01-0027","Ks.Cahaya Ismail","Jl.Nusantara - Liliba","Gunting Kuku Honaga 611 A","1 Lusin","72.000 / Lusin","72,000"
,,,,"Isolasi Hitam Kecil","2 Roll","12.000 / Roll","24,000"
,,,,"Lem Castol Mini","1 Box","60.000 / Box","60,000"
,,,,"Lem G","6 Pcs","7.500 / Pcs","45,000"
,,,,"Sumbu Kompor Kecil","3 Roll","22.500 / Roll","67,500"
,,,,"Kain Pel Sedang Dynamic","6 Pcs","20.000 / Pcs","120,000"
,"01-01-0028","Ks.Putra - Putri","Jurusan Anugerah Mandiri - Jalur 40","Lampu INS Ekonomis 2U 5 Watt","6 Pcs","10.000 / Pcs","60,000"
,,,,"Lampu INS Ekonomis 2U 7 Watt","6 Pcs","10.000 / Pcs","60,000"
,,,,"Lampu Pancaran 3U 25 Watt","2 Pcs","15.000 / Pcs","30,000"
,,,,"Lampu Pancaran 3U 30 Watt","2 Pcs","15.000 / Pcs","30,000"
,,,,"Lampu Pancaran 3U 35 Watt","2 Pcs","15.000 / Pcs","30,000"
,,,,"Pisau Cutter Besar","1 Lusin","39.000 / Lusin","39,000"
,,,,"Pisau Cutter Kecil","1 Lusin","36.000 / Lusin","36,000"
,"01-01-0029","Ks.Putra - Putri Dua","Jurusan SMA Negeri 6 - Sikumana","Lampu INS Ekonomis 2U 5 Watt","6 Pcs","10.000 / Pcs","60,000"
,,,,"Lampu INS Ekonomis 2U 7 Watt","6 Pcs","10.000 / Pcs","60,000"
,,,,"Lampu Pancaran 3U 25 Watt","4 Pcs","15.000 / Pcs","60,000"
,,,,"Lampu Pancaran 3U 30 Watt","4 Pcs","15.000 / Pcs","60,000"
,,,,"Lampu Pancaran 3U 35 Watt","4 Pcs","15.000 / Pcs","60,000"
,,,,"Lampu Pancaran Spiral 25 Watt","2 Pcs","17.500 / Pcs","35,000"
,,,,"Lampu Pancaran Spiral 30 Watt","2 Pcs","17.500 / Pcs","35,000"
,,,,"Lampu Pancaran Spiral 35 Watt","2 Pcs","17.500 / Pcs","35,000"
,"01-01-0030","Aquarius Mart","Jl.Timor Raya Km.9 - Oesapa","Gosok Panci","1 Lusin","27.000 / Lusin","27,000"
,,,,"Kapur Ajaib Bagus","12 Box","15.000 / Box","180,000"
,,,,"Sikat Gigi Premier Classic Soft","1 Lusin","48.000 / Lusin","48,000"
,,,,"Sikat Gigi Premier Superior","1 Lusin","55.000 / Lusin","55,000"
,,,,"Sikat Pakaian Kayu","1 Lusin","39.000 / Lusin","39,000"
,,,,"Spon Cuci Piring - Segi","1 Lusin","27.000 / Lusin","27,000"
"13-01-2021","01-01-0031","Marina Mart","Jl.Piet A.Tallo - Liliba","Gunting Kuku Honaga 611 A","1 Lusin","72.000 / Lusin","72,000"
,,,,"Gunting Kuku Honaga 360 A","1 Lusin","99.000 / Lusin","99,000"
,,,,"Jarum Pentul","3 Roll","20.000 / Roll","60,000"
,,,,"Kapur Ajaib Bagus","6 Box","15.000 / Box","90,000"
,,,,"Sisir Gagang Motif","1 Lusin","66.000 / Lusin","66,000"
,,,,"Sisir Segiempat Loreng","1 Lusin","60.000 / Lusin","60,000"
,,,,"Sisir Segiempat Motif","1 Lusin","66.000 / Lusin","66,000"
,,,,"Spon Bedak Bulat","1 Lusin","25.000 / Lusin","25,000"
,,,,"Spon Bedak Segi","1 Lusin","25.000 / Lusin","25,000"
,"01-01-0032","911 Mart","Jl.El Tari 3 - Penfui","Gosok Panci","4 Lusin","27.000 / Lusin","108,000"
,,,,"Spon Cuci Piring - Segi","4 Lusin","27.000 / Lusin","108,000"
,,,,"Spon Cuci Piring - Warna","48 Pcs","2.500 / Pcs","120,000"
,"01-01-0033","Top Mart","Jl.Jendral Sudirman - Kuanino","Sikat Gigi Premier Bobo Travel","1 Lusin","99.000 / Lusin","99,000"
,,,,"Sikat Gigi Premier Classic Soft","1 Lusin","48.000 / Lusin","48,000"
,,,,"Sikat Gigi Premier Comfort Medium","1 Lusin","42.000 / Lusin","42,000"
,,,,"Sikat Gigi Premier Comfort Soft","1 Lusin","42.000 / Lusin","42,000"
,,,,"Sikat Gigi Premier Deluxe","1 Lusin","55.000 / Lusin","55,000"
,,,,"Sikat Gigi Premier Travel Pack","1 Lusin","110.000 / Lusin","110,000"
,,,,"Sikat Gigi Premier Twin Plus","1 Lusin","120.000 / Lusin","120,000"
,,,,"Kapur Ajaib Bagus","6 Box","15.000 / Box","90,000"
,"01-01-0034","Tk. Firmansyah","Jl.Piet A.Tallo - Liliba","Aceton Heviny 60 ml","36 Pcs","6.000 / Pcs","216,000"
,"01-01-0035","Ks.Lima - Lima","Jl.Taebenu - Liliba","Gembok Freeder 15 mm","1 Lusin","114.000 / Lusin","114,000"
,,,,"Gembok FRT 25 mm","1 Lusin","145.000 / Lusin","145,000"
,,,,"Kipas Angin Tangan Hello Kitty","3 Pcs","24.000 / Pcs","72,000"
,,,,"Obeng Test Pen - Kecil","6 Pcs","5.500 / Pcs","33,000"
,,,,"Sisir Kutu Motif - Cokelat","1 Lusin","51.000 / Lusin","51,000"
"15-01-2021","01-01-0036","Ks. Gracia ","Jl. Nasipanaf - Penfui","Keran Air Hendso 1 / 2 Dim","6 Pcs","18.750 / Pcs","112,500"
,,,,"Lampu INS Ekonomis 2U 5 Watt","6 Pcs","10.000 / Pcs","60,000"
,,,,"Lampu INS Ekonomis 2U 7 Watt","6 Pcs","10.000 / Pcs","60,000"
,,,,"Lampu Pancaran 3U 25 Watt","4 Pcs","15.000 / Pcs","180,000"
,,,,"Lampu Pancaran 3U 30 Watt","4 Pcs","15.000 / Pcs","60,000"
,,,,"Lampu Pancaran 3U 35 Watt","4 Pcs","15.000 / Pcs","60,000"
,,,,"Lampu Pancaran Spiral 25 Watt","2 Pcs","17.500 / Pcs","35,000"
,,,,"Lampu Pancaran Spiral 30 Watt","2 Pcs","17.500 / Pcs","35,000"
,,,,"Lampu Pancaran Spiral 35 Watt","2 Pcs","17.500 / Pcs","35,000"
,,,,"Meteran FRT Transparan 3 Meter","6 Pcs","11.250 / Pcs","67,500"
,"01-01-0038","Bukit Bangunan","Jl.H.R Koroh - Sikumana","Lampu Pancaran Spiral 25 Watt","4 Pcs","17.500 / Pcs","70,000"
,,,,"Lampu Pancaran Spiral 30 Watt","4 Pcs","17.500 / Pcs","70,000"
,,,,"Lampu Pancaran Spiral 35 Watt","4 Pcs","17.500 / Pcs","70,000"
,,,,"Kain Pel Sedang Dynamic","12 Pcs","20.000 / Pcs","240,000"
